iter	Logloss
0	0.6368955146
1	0.5859391633
2	0.5363205006
3	0.4994956657
4	0.4679348948
5	0.441507726
6	0.41259801
7	0.3832270649
8	0.3631926145
9	0.3399881276
10	0.3245024657
11	0.3083360121
12	0.2927678489
13	0.2798138142
14	0.269145841
15	0.2568221691
16	0.248189335
17	0.2407353723
18	0.2320185809
19	0.225342081
20	0.2202305951
21	0.2155835329
22	0.2088298311
23	0.202877011
24	0.1999535027
25	0.1974382338
26	0.1924956719
27	0.1893646772
28	0.1854512071
29	0.1828702368
30	0.1804438177
31	0.176505638
32	0.1727453895
33	0.1700418757
34	0.1681419248
35	0.1660260293
36	0.1638365106
37	0.1623496478
38	0.1600891668
39	0.1586847049
40	0.1579227575
41	0.1549246373
42	0.1538729805
43	0.1521504236
44	0.1510570222
45	0.1493386659
46	0.1469747753
47	0.1456363906
48	0.14499179
49	0.1439795086
50	0.1429726086
51	0.141970098
52	0.1411268554
53	0.1404058885
54	0.1395852018
55	0.1390318422
56	0.1385362983
57	0.138321641
58	0.1374676037
59	0.136316133
60	0.1353912645
61	0.1345739721
62	0.1337858774
63	0.1331243649
64	0.1322851064
65	0.131303957
66	0.1306696231
67	0.1295987331
68	0.1289481999
69	0.1287754948
70	0.1282668081
71	0.1266301919
72	0.1263504252
73	0.1257990749
74	0.1242396955
75	0.123696058
76	0.123410874
77	0.1225135301
78	0.1207633862
79	0.1203739046
80	0.1202677595
81	0.1193694567
82	0.1189979956
83	0.1187777065
84	0.1179237757
85	0.1171929594
86	0.1161086295
87	0.115869131
88	0.114616055
89	0.1142675207
90	0.1136018935
91	0.1133558619
92	0.1124650655
93	0.1122583032
94	0.1116587376
95	0.1111039864
96	0.1085370463
97	0.1073136075
98	0.1058035247
99	0.1053182173
100	0.1046382816
101	0.1043092515
102	0.1038816718
103	0.1037494146
104	0.1033024922
105	0.1024560735
106	0.1010753444
107	0.1006497067
108	0.09901567471
109	0.09866791813
110	0.09856239758
111	0.09817712878
112	0.09779145108
113	0.09751936589
114	0.09689895773
115	0.09625641989
116	0.09554852274
117	0.09541785557
118	0.09508911056
119	0.09395915575
120	0.09287114285
121	0.09275114651
122	0.09213861913
123	0.09061438295
124	0.09005754196
125	0.08964640861
126	0.08869236805
127	0.08730641629
128	0.08680081267
129	0.08648158744
130	0.0854187854
131	0.08477422793
132	0.08419546011
133	0.08358385923
134	0.08304493779
135	0.08197908154
136	0.08158464058
137	0.08139285159
138	0.08022470356
139	0.08005369884
140	0.07943987855
141	0.07903492047
142	0.07782542148
143	0.07751659985
144	0.07716285818
145	0.07690390759
146	0.07554248145
147	0.07435126673
148	0.07361008412
149	0.07315962001
150	0.07295321886
151	0.07189412038
152	0.07137546912
153	0.07067489545
154	0.06953538615
155	0.06877176819
156	0.06827615525
157	0.0675954812
158	0.06680949434
159	0.06639740291
160	0.06599759689
161	0.06556916034
162	0.06467834578
163	0.06425413691
164	0.063779606
165	0.06333524841
166	0.06298241901
167	0.06221452281
168	0.06177134767
169	0.0615573202
170	0.06114469802
171	0.06083617681
172	0.06059781823
173	0.05988417152
174	0.05968446346
175	0.05927602658
176	0.05908772986
177	0.05900806251
178	0.05833743348
179	0.05794521185
180	0.05779795532
181	0.05750755978
182	0.05715533292
183	0.05680559068
184	0.05660474576
185	0.05640810719
186	0.05623384725
187	0.05607336703
188	0.05595791353
189	0.05583556308
190	0.05522758212
191	0.05467068685
192	0.05423884399
193	0.05379822477
194	0.05329885622
195	0.05289445502
196	0.05278646687
197	0.05267650706
198	0.05223038377
199	0.05181965024
200	0.05155120168
201	0.05129795524
202	0.0511929204
203	0.05103391418
204	0.05082095538
205	0.050542142
206	0.05030736577
207	0.05007230695
208	0.04986538081
209	0.04977083369
210	0.0495097158
211	0.049418474
212	0.04933201777
213	0.04895951937
214	0.0488762583
215	0.04866490358
216	0.04841071981
217	0.04815529286
218	0.04807897694
219	0.04798272398
220	0.0478432705
221	0.04763562128
222	0.04732556725
223	0.04713957409
224	0.04706542892
225	0.0465969642
226	0.04621427873
227	0.04579500019
228	0.04566641385
229	0.04554379629
230	0.04545478658
231	0.04533733147
232	0.04513153541
233	0.04506682826
234	0.04478914045
235	0.04472647702
236	0.04442345174
237	0.04409559799
238	0.04383408992
239	0.04377353798
240	0.04366504323
241	0.04348153718
242	0.04340324812
243	0.04329859132
244	0.04314944717
245	0.04300179431
246	0.04283540579
247	0.04255381265
248	0.04241834492
249	0.04236234787
250	0.04212818745
251	0.0419681602
252	0.04191320252
253	0.04173140835
254	0.04167887654
255	0.04142317066
256	0.04137266456
257	0.04101145513
258	0.04086050731
259	0.04069693954
260	0.04065979967
261	0.04042168021
262	0.04037237228
263	0.04029659251
264	0.04026029828
265	0.04021301425
266	0.04007573855
267	0.03995305429
268	0.03964700485
269	0.03949157917
270	0.03922997886
271	0.03918652343
272	0.03915153424
273	0.03909175847
274	0.03888116691
275	0.03875329954
276	0.03864076614
277	0.03853195893
278	0.03849035366
279	0.03845758136
280	0.03820375868
281	0.03795437226
282	0.03786670437
283	0.03764452899
284	0.03746160269
285	0.0373364274
286	0.03717227277
287	0.03698465659
288	0.03685751594
289	0.03677532982
290	0.03660325029
291	0.03643255782
292	0.03634931128
293	0.03625226641
294	0.03617285038
295	0.03604656006
296	0.03587235669
297	0.03583525816
298	0.0357594862
299	0.03555256414
